SMILES,Input_SMILES,Tanimoto,NLL
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.5319148936170213,1.922537088394165
Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,1.0,2.7249343395233154
CCn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.6976744186046512,3.422217607498169
Cn1c(=O)[nH]c2[nH]cnc2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.4166666666666667,3.780945062637329
CCCn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.6521739130434783,3.8092968463897705
Cn1c(=O)c2[nH]c(-c3ccccc3)nc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.4426229508196721,3.939013719558716
Cn1c(=O)n(Cc2ccccc2)c(=O)c2[nH]cnc21,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.48333333333333334,4.154305458068848
Cn1c(=O)c2[nH]c(Cc3ccccc3)nc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.421875,4.216366291046143
Cn1c(=O)c2nc[nH]c2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.627906976744186,4.371674060821533
Cn1c(=O)[nH]c2nc[nH]c2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.5111111111111111,4.4742584228515625
CC(C)Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.625,4.486569404602051
CCn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.41509433962264153,4.525880336761475
Cn1c(=O)c2[nH]c(CCc3ccccc3)nc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,1.0,4.586102485656738
CCCCn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.40298507462686567,4.639187335968018
Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.6122448979591837,4.688574314117432
CCn1c(=O)c2[nH]c(C)nc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.46938775510204084,4.829819202423096
Cn1c(=O)c2[nH]c(C(C)(C)C)nc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.3888888888888889,4.851974964141846
Cn1c(=O)c2[nH]c(-c3cccs3)nc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.49056603773584906,4.908298969268799
Cn1c(=O)[nH]c(=O)c2[nH]cnc21,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.46551724137931033,4.9441046714782715
COC(=O)Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.5454545454545454,4.947134494781494
Cn1c(=O)c2[nH]c(-c3ccco3)nc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.5882352941176471,4.9656758308410645
Cn1c(=O)c2[nH]c(CC(C)(C)C)nc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.46551724137931033,4.974604606628418
